_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;BookId
812;to stand;['to stand'];[('to', ['V TO']), ('stand', ['V INF'])];['T0 T3530'];['stand'];[('stand', ['V INF'])];[('stand', 'V')];stehen;[['stehen']];[''];['826'];[''];[''];passiv;4/C5;I;irr;;;['603', '602']
813;coat;['coat'];[('coat', ['N 3sg'])];['C300'];['coat'];[('coat', ['N 3sg'])];[('coat', 'N')];Mantel;[['Mantel']];[''];['6625'];[''];[''];aktiv;4/C5;I;s;*coat*;ID1394765;['602', '663']
814;hat;['hat'];[('hat', ['N 3sg'])];['H30'];['hat'];[('hat', ['N 3sg'])];[('hat', 'N')];Hut;[['Hut']];[''];['02'];[''];[''];aktiv;4/C5;I;s;;;['602']
815;to bring;['to bring'];[('to', ['V TO']), ('bring', ['V INF'])];['T0 T6520'];['bring'];[('bring', ['V INF'])];[('bring', 'V')];(mit)bringen;[['bringen'], ['mitbringen']];[''];[['17646'], ['6217646']];[''];[''];aktiv;4/C5;I;irr;Can I *bring* my friends to your party?;;['604']
816;parrot;['parrot'];[('parrot', ['N 3sg'])];['P63000'];['parrot'];[('parrot', ['N 3sg'])];[('parrot', 'N')];Papagei;[['Papagei']];[''];['114'];[''];[''];passiv;4/C5;I;s;;;['604']
817;to make fun of sb;[['to make fun of'], ['to make fun of sb']];[[('to', ['V TO']), ('make', ['V INF']), ('fun', ['N 3sg']), ('of', ['Prep'])]];[['T0 T200 T50 T1'], ['T0 T200 T50 T1 T1']];[['make', 'fun', 'of']];[[('make', ['V INF']), ('fun', ['N 3sg']), ('of', ['Prep'])]];[[('make', 'V'), ('fun', 'N'), ('of', 'Prep')]];sich über jdn lustig machen;[['sich über jdn lustig machen']];[''];['84 017 026 5824 646'];[''];[''];passiv;4/C5;I;ph;;;['607']
818;to yawn;['to yawn'];[('to', ['V TO']), ('yawn', ['V INF'])];['T0 T500'];['yawn'];[('yawn', ['V INF'])];[('yawn', 'V')];gähnen;[['gähnen']];[''];['466'];[''];[''];passiv;4/C5;I;v;;;['607', '608']
819;to kiss;['to kiss'];[('to', ['V TO']), ('kiss', ['V INF'])];['T0 T200'];['kiss'];[('kiss', ['V INF'])];[('kiss', 'V')];küssen;[['küssen']];[''];['486'];[''];[''];passiv;4/C5;I;v;;;['610']
820;that;['that'];[('that', ['Det'])];['T300'];['that'];[('that', ['Det'])];[('that', 'Det')];der/die/das;[['der'], ['die'], ['das']];[''];[['27'], ['2'], ['28']];[''];[''];passiv;4/C5;I;d;;;['608', '613']
821;pickpocket;['pickpocket'];[('pickpocket', ['N 3sg'])];['P212300000'];['pickpocket'];[('pickpocket', ['N 3sg'])];[('pickpocket', 'N')];Taschendieb/in;[['Taschendieb'], ['Taschendiebin']];[''];[['28621'], ['286216']];[''];[''];aktiv;4/C5;I;s;The *pickpockets* are taking the girl's money.;;['629', '641', '644', '652', '616', '653', '636', '617', '664', '614', '647']
822;to take;['to take'];[('to', ['V TO']), ('take', ['V INF'])];['T0 T200'];['take'];[('take', ['V INF'])];[('take', 'V')];(mit)nehmen, hier: wegnehmen;[['nehmen'], ['mitnehmen'], ['wegnehmen']];[''];[['666'], ['62666'], ['34666']];[''];[''];aktiv;4/C5;I;irr;;;['614']
823;money (no pl);['money'];[('money', ['N 3sg'])];['M5000'];['money'];[('money', ['N 3sg'])];[('money', 'N')];Geld;[['Geld']];[''];['452'];[''];[''];aktiv;4/C5;I;s;*money*;ID990082;['614']
824;to run (away);[['to run'], ['to run away']];[[('to', ['V TO']), ('run', ['V PPART STR', 'V INF'])], [('to', ['V TO']), ('run', ['V PPART STR', 'V INF']), ('away', [['V']])]];[['T0 T50'], ['T0 T50 T000']];[['run'], ['run', 'away']];[[('run', ['V PPART STR', 'V INF'])], [('run', ['V PPART STR', 'V INF']), ('away', [['V']])]];[[('run', 'V')], [('run', 'V'), ('away', 'V')]];(weg)rennen;[['rennen'], ['wegrennen']];[''];[['766'], ['34766']];[''];[''];aktiv;4/C5;I;irr;;;['615', '661', '641']
825;was, were;[['was'], ['were']];[[('was', ['V 1sg PAST STR', 'V 3sg PAST STR'])], [('were', ['V 2sg PAST STR', 'V PAST STR pl'])]];[['W20'], ['W600']];[['be'], ['be']];[[('be', ['V 1sg PAST STR', 'V 3sg PAST STR'])], [('be', ['V 2sg PAST STR', 'V PAST STR pl'])]];[[('be', 'V')], [('be', 'V')]];"Vergangenheitsformen von ""be""";"[['Vergangenheitsformen von ""be""']]";[''];['37464683766 36  1'];[''];[''];passiv;4/C8;I;irr;;;['672', '612', '577', '632', '668', '625', '606', '609', '651', '584', '571', '620', '600', '640', '671', '617', '574', '639', '629', '641', '652', '636', '599', '614', '585']
826;to follow;['to follow'];[('to', ['V TO']), ('follow', ['V INF'])];['T0 T40000'];['follow'];[('follow', ['V INF'])];[('follow', 'V')];folgen;[['folgen']];[''];['3546'];[''];[''];aktiv;4/C8;I;v;;;['619', '641']
827;upstairs;['upstairs'];[('upstairs', ['Adv'])];['U1236200'];['upstairs'];[('upstairs', ['Adv'])];[('upstairs', 'Adv')];(nach) oben;[['oben'], ['nach oben']];[''];[['016'], ['64 016']];[''];[''];passiv;4/C8;I;av;;;['622']
828;gallery;['gallery'];[('gallery', ['N 3sg'])];['G460000'];['gallery'];[('gallery', ['N 3sg'])];[('gallery', 'N')];Galerie;[['Galerie']];[''];['457'];[''];[''];passiv;4/C8;I;s;;;['622', '624', '644']
829;jacket;['jacket'];[('jacket', ['N 3sg'])];['J23000'];['jacket'];[('jacket', ['N 3sg'])];[('jacket', 'N')];Jacke;[['Jacke']];[''];['04'];[''];[''];aktiv;4/C8;I;s;;;['627', '662', '660', '658']
830;to steal;['to steal'];[('to', ['V TO']), ('steal', ['V INF'])];['T0 T3400'];['steal'];[('steal', ['V INF'])];[('steal', 'V')];stehlen;[['stehlen']];[''];['8256'];[''];[''];aktiv;4/C8;I;irr;The pickpocket *is stealing* a bag.;ID1394781;['642', '629', '660', '658', '662']
831;purse;['purse'];[('purse', ['N 3sg'])];['P6200'];['purse'];[('purse', ['N 3sg'])];[('purse', 'N')];Portemonnaie, Geldbörse;[['Portemonnaie'], ['Geldbörse']];[''];[['17266'], ['452178']];[''];[''];passiv;4/C8;I;s;;;['629', '659', '658', '642', '660', '662', '663']
832;said;['said'];[('said', ['V PAST STR', 'V PPART STR'])];['S300'];['sayyid'];[('sayyid', ['V PAST STR', 'V PPART STR'])];[('sayyid', 'V')];"Vergangenheitsform von ""say""";[['Vergangenheitsform von say']];[''];['3746468376 36 8'];[''];[''];passiv;4/C8;I;irr;;;[]
833;to stop;['to stop'];[('to', ['V TO']), ('stop', ['V INF'])];['T0 T310'];['stop'];[('stop', ['V INF'])];[('stop', 'V')];stoppen, (an)halten, hier: aufhalten;[['stoppen'], ['halten'], ['anhalten'], ['aufhalten']];[''];[['8216'], ['0526'], ['06526'], ['03526']];[''];[''];aktiv;4/C8;I;v;;;['615', '630', '611', '638', '663']
834;policeman (pl policemen);[['policeman'], ['policemen']];[[('policeman', ['N 3sg'])], [('policemen', ['N 3pl'])]];[['P42550000'], ['P42550000']];[['policeman'], ['policeman']];[[('policeman', ['N 3sg'])], [('policeman', ['N 3pl'])]];[[('policeman', 'N')], [('policeman', 'N')]];Polizist;[['Polizist']];[''];['15882'];[''];[''];aktiv;4/C8;I;s;;;['637', '652', '653', '645', '656', '664', '632', '634', '663']
835;stairs (pl);['stairs'];[('stairs', ['N 3pl', 'N 3sg'])];['S36200'];['stair'];[('stair', ['N 3pl', 'N 3sg'])];[('stair', 'N')];Treppe;[['Treppe']];[''];['271'];[''];[''];aktiv;4/C8;I;s;;ID1394780;['633', '641']
836;out of;['out of'];[('out', ['Adv']), ('of', ['Prep'])];['O30 O1'];['out', 'of'];[('out', ['Adv']), ('of', ['Prep'])];[('out', 'Adv'), ('of', 'Prep')];aus;[['aus']];[''];['08'];[''];[''];passiv;4/C8;I;ph;;;['633']
837;nervous;['nervous'];[('nervous', ['A'])];['N612000'];['nervous'];[('nervous', ['A'])];[('nervous', 'A')];nervös;[['nervös']];[''];['6738'];[''];[''];passiv;4/C8;I;a;;;['640']
838;ran;['ran'];[('ran', ['V PAST STR'])];['R50'];['run'];[('run', ['V PAST STR'])];[('run', 'V')];Vergangenheitsform von run;[['Vergangenheitsform von run']];[''];['3746468376 36 76'];[''];[''];passiv;4/C8;I;irr;;;['615', '661', '641']
839;stole;['stole'];[('stole', ['V PAST STR'])];['S3400'];['stole'];[('stole', ['V PAST STR'])];[('stole', 'V')];Vergangenheitsform von steal;[['Vergangenheitsform von steal']];[''];['3746468376 36 825'];[''];[''];passiv;4/C8;I;irr;;;[]
840;went;['went'];[('went', ['V PAST STR'])];['W530'];['go'];[('go', ['V PAST STR'])];[('go', 'V')];Vergangenheitsform von go;[['Vergangenheitsform von go']];[''];['3746468376 36 4'];[''];[''];passiv;4/C8;I;irr;;;['618', '597', '622', '643', '652']
841;main entrance;['main entrance'];[('main', ['N 3sg']), ('entrance', ['N 3sg'])];['M500 M5365200'];['main', 'entrance'];[('main', ['N 3sg']), ('entrance', ['N 3sg'])];[('main', 'N'), ('entrance', 'N')];Haupteingang;[['Haupteingang']];[''];['0126464'];[''];[''];passiv;4/C8;I;s;;;[]
842;to stay;['to stay'];[('to', ['V TO']), ('stay', ['V INF'])];['T0 T300'];['stay'];[('stay', ['V INF'])];[('stay', 'V')];bleiben;[['bleiben']];[''];['1516'];[''];[''];aktiv;4/C8;I;v;There's no school today. We can *stay* at home.;;['644']
843;finally;['finally'];[('finally', ['Adv'])];['F540000'];['finally'];[('finally', ['Adv'])];[('finally', 'Adv')];schließlich, endlich;[['schließlich'], ['endlich']];[''];[['85854'], ['06254']];[''];[''];aktiv;4/C8;I;av;;;['645']
844;to arrive;['to arrive'];[('to', ['V TO']), ('arrive', ['V INF'])];['T0 T61000'];['arrive'];[('arrive', ['V INF'])];[('arrive', 'V')];ankommen, hier: da sein;[['ankommen'], ['da sein']];[''];[['06466'], ['2 86']];[''];[''];aktiv;4/C8;I;v;;;['645']
845;on the right;['on the right'];[('on', ['Adv']), ('the', ['Det']), ('right', ['Adv'])];['O5 O00 O2300'];['on', 'the', 'right'];[('on', ['Adv']), ('the', ['Det']), ('right', ['Adv'])];[('on', 'Adv'), ('the', 'Det'), ('right', 'Adv')];rechts, auf der rechten Seite;[['rechts'], ['auf der rechten Seite']];[''];[['748'], ['03 27 7426 82']];[''];[''];aktiv;4/C8;I;av;Lisa is *on the left* and Tom is *on the right*.;ID1383701;[]
846;on the left;['on the left'];[('on', ['Adv']), ('the', ['Det']), ('left', ['Adv'])];['O5 O00 O130'];['on', 'the', 'leave'];[('on', ['Adv']), ('the', ['Det']), ('leave', ['Adv'])];[('on', 'Adv'), ('the', 'Det'), ('leave', 'Adv')];links, auf der linken Seite;[['links'], ['auf der linken Seite']];[''];[['5648'], ['03 27 5646 82']];[''];[''];aktiv;4/C8;I;av;;ID1383701;[]
847;right;['right'];[('right', ['Adv'])];['R2300'];['right'];[('right', ['Adv'])];[('right', 'Adv')];(nach) rechts;[['rechts'], ['nach rechts']];[''];[['748'], ['64 748']];[''];[''];aktiv;4/C8;I;av;*right*;ID1394785;['651', '647']
848;couldn't (= could not);"[[""couldn't""], ['could not']]";"[[(""couldn't"", ['V CONTR NEG PRES'])], [('could', ['V PRES']), ('not', ['Adv'])]]";[['C4353000'], ['C4300 C30']];[['could'], ['could', 'not']];[[('could', ['V CONTR NEG PRES'])], [('could', ['V PRES']), ('not', ['Adv'])]];[[('could', 'V')], [('could', 'V'), ('not', 'Adv')]];"Vergangenheitsform von ""can't""";"[[""Vergangenheitsform von can't""]]";[''];['3746468376 36 4 62'];[''];[''];aktiv;4/C8;I;ph;It was dark, so I *couldn't* see you.;;[]
849;left;['left'];[('left', ['Adv'])];['L130'];['leave'];[('leave', ['Adv'])];[('leave', 'Adv')];(nach) links;[['links'], ['nach links']];[''];[['5648'], ['64 5648']];[''];[''];aktiv;4/C8;I;av;*left*;ID1394785;[]
850;to switch on;['to switch on'];[('to', ['V TO']), ('switch', ['V INF']), ('on', ['Part'])];['T0 T32000 T5'];['switch', 'on'];[('switch', ['V INF']), ('on', ['Part'])];[('switch', 'V'), ('on', 'Part')];einschalten, anschalten;[['einschalten'], ['anschalten']];[''];[['068526'], ['068526']];[''];[''];passiv;4/C8;I;ph;;;[]
851;to turn right/left;[['to turn right'], ['to turn left']];[[('to', ['V TO']), ('turn', ['V INF']), ('right', ['Adv'])], [('to', ['V TO']), ('turn', ['V INF']), ('left', ['V PAST STR', 'V PPART STR'])]];[['T0 T650 T2300'], ['T0 T650 T130']];[['turn', 'right'], ['turn', 'left']];[[('turn', ['V INF']), ('right', ['Adv'])], [('turn', ['V INF']), ('left', ['V PAST STR', 'V PPART STR'])]];[[('turn', 'V'), ('right', 'Adv')], [('turn', 'V'), ('left', 'V')]];rechts/links abbiegen;[['rechts abbiegen'], ['links abbiegen']];[''];[['748 0146'], ['5648 0146']];[''];[''];passiv;4/C8;I;ph;;;['651']
852;joke;['joke'];[('joke', ['N 3sg'])];['J200'];['joke'];[('joke', ['N 3sg'])];[('joke', 'N')];Spaß, Streich, Witz;[['Spaß'], ['Streich'], ['Witz']];[''];[['818'], ['8274'], ['38']];[''];[''];passiv;4/C8;I;s;;;['655']
853;to prove;['to prove'];[('to', ['V TO']), ('prove', ['V INF'])];['T0 T6100'];['prove'];[('prove', ['V INF'])];[('prove', 'V')];beweisen;[['beweisen']];[''];['1386'];[''];[''];passiv;4/C8;I;v;;;['657']
854;pocket;['pocket'];[('pocket', ['N 3sg'])];['P23000'];['pocket'];[('pocket', ['N 3sg'])];[('pocket', 'N')];Tasche (an Kleidungsstücken);[['Tasche']];[''];['28'];[''];[''];aktiv;4/C8;I;s;;;['659']
855;bin;['bin'];[('bin', ['N 3sg'])];['B50'];['bin'];[('bin', ['N 3sg'])];[('bin', 'N')];Mülleimer, Mülltonne;[['Mülleimer'], ['Mülltonne']];[''];[['6567'], ['6526']];[''];[''];passiv;4/C8;I;s;;;['659']
856;over there;['over there'];[('over', ['Prep']), ('there', ['Adv'])];['O160 O6000'];['over', 'there'];[('over', ['Prep']), ('there', ['Adv'])];[('over', 'Prep'), ('there', 'Adv')];dort drüben;[['dort drüben']];[''];['272 2716'];[''];[''];aktiv;4/C8;I;ph;;;['659']
857;to fall;['to fall'];[('to', ['V TO']), ('fall', ['V INF'])];['T0 T400'];['fall'];[('fall', ['V INF'])];[('fall', 'V')];(um)fallen, stürzen;[['fallen'], ['umfallen'], ['stürzen']];[''];[['356'], ['06356'], ['82786']];[''];[''];aktiv;4/C8;I;irr;;ID1394770;['663']
858;fell;['fell'];[('fell', ['V PAST STR'])];['F400'];['fell'];[('fell', ['V PAST STR'])];[('fell', 'V')];Vergangenheitsform von „fall“;[['Vergangenheitsform von fall']];[''];['3746468376 36 35'];[''];[''];passiv;4/C8;I;irr;;;[]
859;saw;['saw'];[('saw', ['V PAST STR', 'V INF'])];['S00'];['saw'];[('saw', ['V PAST STR', 'V INF'])];[('saw', 'V')];Vergangenheitsform von see;[['Vergangenheitsform von see']];[''];['3746468376 36 8'];[''];[''];passiv;4/C8;I;irr;;;[]
860;in;['in'];[('in', ['Prep'])];['I5'];['in'];[('in', ['Prep'])];[('in', 'Prep')];in, hier: auf;[['in'], ['auf']];[''];[['06'], ['03']];[''];[''];aktiv;4/C10;I;pr;;;['621', '659', '658', '603', '636', '660', '596', '627', '662', '583', '613']
861;dress;['dress'];[('dress', ['N 3sg'])];['D6200'];['dress'];[('dress', ['N 3sg'])];[('dress', 'N')];Kleid;[['Kleid']];[''];['452'];[''];[''];passiv;4/C10;I;s;;;[]
862;owner;['owner'];[('owner', ['N 3sg'])];['O5600'];['owner'];[('owner', ['N 3sg'])];[('owner', 'N')];Besitzer/in, Eigentümer/in;[['Besitzer'], ['Besitzerin'], ['Eigentümer'], ['Eigentümerin']];[''];[['1887'], ['18876'], ['046267'], ['0462676']];[''];[''];passiv;4/C10;I;s;;;[]
863;everything;['everything'];[('everything', ['Pron 3sg nomacc'])];['E163520000'];['everything'];[('everything', ['Pron 3sg nomacc'])];[('everything', 'Pron')];alles;[['alles']];[''];['058'];[''];[''];aktiv;4/C11;I;p;;;[]
864;the police (no pl);['the police'];[('the', ['Det']), ('police', ['N 3sg'])];['T00 T42000'];['the', 'police'];[('the', ['Det']), ('police', ['N 3sg'])];[('the', 'Det'), ('police', 'N')];die Polizei;[['die Polizei']];[''];['2 158'];[''];[''];aktiv;4/C11;I;s;;;[]
865;to notice;['to notice'];[('to', ['V TO']), ('notice', ['V INF'])];['T0 T32000'];['notice'];[('notice', ['V INF'])];[('notice', 'V')];bemerken, beachten;[['bemerken'], ['beachten']];[''];[['16746'], ['1426']];[''];[''];aktiv;4/C11;I;v;;;[]
866;letter;['letter'];[('letter', ['N 3sg'])];['L36000'];['letter'];[('letter', ['N 3sg'])];[('letter', 'N')];Brief;[['Brief']];[''];['173'];[''];[''];aktiv;4/C13;I;s;*letter*;ID1394776;[]
867;to get;['to get'];[('to', ['V TO']), ('get', ['V INF'])];['T0 T30'];['get'];[('get', ['V INF'])];[('get', 'V')];erhalten, bekommen;[['erhalten'], ['bekommen']];[''];[['07526'], ['1466']];[''];[''];passiv;4/C13;I;irr;;;['677', '583', '659', '632', '669']
868;How are you?;['How are you'];[('How', ['Adv wh']), ('are', ['V 2sg PRES', 'V PRES pl']), ('you', ['Pron 2nd nomacc'])];['H00 H60 H00'];['how', 'are', 'you'];[('how', ['Adv wh']), ('are', ['V 2sg PRES', 'V PRES pl']), ('you', ['Pron 2nd nomacc'])];[('how', 'Adv'), ('are', 'V'), ('you', 'Pron')];Wie geht es dir/Ihnen/euch?;[['Wie geht es dir'], ['Wie geht es Ihnen'], ['Wie geht es euch']];[''];[['3 42 08 27'], ['3 42 08 066'], ['3 42 08 04']];[''];[''];aktiv;4/C13;I;ph;;;[]
869;Say hi to ... for me!;['Say hi to for me'];[('Say', ['V INF']), ('hi', ['I']), ('to', ['V TO']), ('for', ['Prep']), ('me', ['Pron 1sg acc'])];['S00 S0 S0 S60 S0'];['say', 'hi', 'to', 'for', 'me'];[('say', ['V INF']), ('hi', ['I']), ('to', ['V TO']), ('for', ['Prep']), ('me', ['Pron 1sg acc'])];[('say', 'V'), ('hi', 'I'), ('to', 'V'), ('for', 'Prep'), ('me', 'Pron')];Grüß mir (bitte) ...;[['Grüß mir'], ['Grüß mir bitte']];[''];[['478 67'], ['478 67 12']];[''];[''];passiv;4/C13;I;ph;;;['674']
870;I'm fine;"[""I'm fine""]";"[(""I'm"", ['NVC 1sg PRES']), ('fine', ['A'])]";['I50 I500'];['I am', 'fine'];[('I am', ['NVC 1sg PRES']), ('fine', ['A'])];[('I am', 'NVC'), ('fine', 'A')];Es geht mir gut.;[['Es geht mir gut']];[''];['08 42 67 42'];[''];[''];aktiv;4/C13;I;ph;How are you? - *I'm fine*.;;[]
871;yesterday;['yesterday'];[('yesterday', ['Adv'])];['Y23630000'];['yesterday'];[('yesterday', ['Adv'])];[('yesterday', 'Adv')];gestern;[['gestern']];[''];['48276'];[''];[''];aktiv;4/C13;I;av;Today it's Monday. *Yesterday* it was Sunday.;;[]
872;world;['world'];[('world', ['N 3sg'])];['W6430'];['world'];[('world', ['N 3sg'])];[('world', 'N')];Welt;[['Welt']];[''];['352'];[''];[''];aktiv;5/A;I;s;*world*;ID1395875;[]
873;sound;['sound'];[('sound', ['N 3sg'])];['S5300'];['sound'];[('sound', ['N 3sg'])];[('sound', 'N')];Geräusch, Klang, Laut;[['Geräusch'], ['Klang'], ['Laut']];[''];[['478'], ['4564'], ['52']];[''];[''];aktiv;5/A1;I;s;;;[]
874;farm;['farm'];[('farm', ['N 3sg'])];['F650'];['farm'];[('farm', ['N 3sg'])];[('farm', 'N')];Bauernhof;[['Bauernhof']];[''];['1763'];[''];[''];aktiv;5/A1;I;s;;;[]
875;wild;['wild'];[('wild', ['A'])];['W430'];['wild'];[('wild', ['A'])];[('wild', 'A')];wild, hier: in freier Wildbahn lebend;[['wild'], ['in freier Wildbahn lebend']];[''];[['352'], ['06 377 35216 5162']];[''];[''];aktiv;5/A1;I;a;A tiger is a *wild* animal.;;[]
876;fish (pl fish or fishes);[['fish'], ['fish or fishes']];[[('fish', ['N 3pl', 'N 3sg'])], [('fish', ['N 3pl', 'N 3sg']), ('or', ['N']), ('fishes', ['N 3pl'])]];[['F200'], ['F200 F6 F22000']];[['fish'], ['fish', 'or', 'fish']];[[('fish', ['N 3pl', 'N 3sg'])], [('fish', ['N 3pl', 'N 3sg']), ('or', ['N']), ('fish', ['N 3pl'])]];[[('fish', 'N')], [('fish', 'N'), ('or', 'N'), ('fish', 'N')]];Fisch;[['Fisch']];[''];['38'];[''];[''];aktiv;5/A1;I;s;;;[]
877;mouse (pl mice);[['mouse'], ['mice']];[[('mouse', ['N 3sg'])], [('mice', ['N 3pl'])]];[['M2000'], ['M200']];[['mouse'], ['mouse']];[[('mouse', ['N 3sg'])], [('mouse', ['N 3pl'])]];[[('mouse', 'N')], [('mouse', 'N')]];Maus;[['Maus']];[''];['68'];[''];[''];aktiv;5/A1;I;s;;;[]
878;cow;['cow'];[('cow', ['N 3sg'])];['C00'];['cow'];[('cow', ['N 3sg'])];[('cow', 'N')];Kuh;[['Kuh']];[''];['4'];[''];[''];aktiv;5/A1;I;s;;;[]
879;pig;['pig'];[('pig', ['N 3sg'])];['P20'];['pig'];[('pig', ['N 3sg'])];[('pig', 'N')];Schwein;[['Schwein']];[''];['836'];[''];[''];aktiv;5/A1;I;s;;;[]
880;sheep (pl sheep);[['sheep'], ['sheep']];[[('sheep', ['N 3sg'])], [('sheep', ['N 3sg'])]];[['S1000'], ['S1000']];[['sheep'], ['sheep']];[[('sheep', ['N 3sg'])], [('sheep', ['N 3sg'])]];[[('sheep', 'N')], [('sheep', 'N')]];Schaf;[['Schaf']];[''];['83'];[''];[''];aktiv;5/A1;I;s;;;[]
881;chicken;['chicken'];[('chicken', ['N 3sg'])];['C250000'];['chicken'];[('chicken', ['N 3sg'])];[('chicken', 'N')];Huhn;[['Huhn']];[''];['06'];[''];[''];aktiv;5/A1;I;s;;;[]
882;horse;['horse'];[('horse', ['N 3sg'])];['H6200'];['horse'];[('horse', ['N 3sg'])];[('horse', 'N')];Pferd;[['Pferd']];[''];['1372'];[''];[''];aktiv;5/A1;I;s;;;[]
883;duck;['duck'];[('duck', ['N 3sg'])];['D200'];['duck'];[('duck', ['N 3sg'])];[('duck', 'N')];Ente;[['Ente']];[''];['062'];[''];[''];aktiv;5/A1;I;s;;;[]
884;lion;['lion'];[('lion', ['N 3sg'])];['L500'];['lion'];[('lion', ['N 3sg'])];[('lion', 'N')];Löwe;[['Löwe']];[''];['53'];[''];[''];aktiv;5/A1;I;s;;;[]
885;seal;['seal'];[('seal', ['N 3sg'])];['S400'];['seal'];[('seal', ['N 3sg'])];[('seal', 'N')];Seehund, Robbe;[['Seehund'], ['Robbe']];[''];[['862'], ['71']];[''];[''];passiv;5/A1;I;s;;;[]
886;fur (no pl);['fur'];[('fur', ['N 3sg'])];['F60'];['fur'];[('fur', ['N 3sg'])];[('fur', 'N')];Fell;[['Fell']];[''];['35'];[''];[''];passiv;5/A1;I;s;;;[]
887;nose;['nose'];[('nose', ['N 3sg'])];['N200'];['nose'];[('nose', ['N 3sg'])];[('nose', 'N')];Nase;[['Nase']];[''];['68'];[''];[''];aktiv;5/A2;I;s;;;[]
888;ear;['ear'];[('ear', ['N 3sg'])];['E60'];['ear'];[('ear', ['N 3sg'])];[('ear', 'N')];Ohr;[['Ohr']];[''];['07'];[''];[''];aktiv;5/A2;I;s;an elephant with very big *ears*;ID1330001;[]
889;mouth;['mouth'];[('mouth', ['N 3sg'])];['M3000'];['mouth'];[('mouth', ['N 3sg'])];[('mouth', 'N')];Mund;[['Mund']];[''];['662'];[''];[''];aktiv;5/A2;I;s;;;[]
890;tooth (pl teeth);[['tooth'], ['teeth']];[[('tooth', ['N 3sg'])], [('teeth', ['N 3pl'])]];[['T3000'], ['T3000']];[['tooth'], ['tooth']];[[('tooth', ['N 3sg'])], [('tooth', ['N 3pl'])]];[[('tooth', 'N')], [('tooth', 'N')]];Zahn;[['Zahn']];[''];['86'];[''];[''];aktiv;5/A2;I;s;;;[]
891;feather;['feather'];[('feather', ['N 3sg'])];['F360000'];['feather'];[('feather', ['N 3sg'])];[('feather', 'N')];Feder;[['Feder']];[''];['327'];[''];[''];passiv;5/A2;I;s;;;[]
892;wing;['wing'];[('wing', ['N 3sg'])];['W520'];['wing'];[('wing', ['N 3sg'])];[('wing', 'N')];Flügel;[['Flügel']];[''];['3545'];[''];[''];passiv;5/A2;I;s;;;[]
893;tail;['tail'];[('tail', ['N 3sg'])];['T400'];['tail'];[('tail', ['N 3sg'])];[('tail', 'N')];Schwanz;[['Schwanz']];[''];['8368'];[''];[''];passiv;5/A2;I;s;;;[]
894;head;['head'];[('head', ['N 3pl', 'N 3sg'])];['H300'];['head'];[('head', ['N 3pl', 'N 3sg'])];[('head', 'N')];Kopf;[['Kopf']];[''];['413'];[''];[''];aktiv;5/A2;I;s;;;[]
895;water (no pl);['water'];[('water', ['N 3sg'])];['W3600'];['water'];[('water', ['N 3sg'])];[('water', 'N')];Wasser;[['Wasser']];[''];['387'];[''];[''];aktiv;5/A3;I;s;;;['678']
896;poem;['poem'];[('poem', ['N 3sg'])];['P500'];['poem'];[('poem', ['N 3sg'])];[('poem', 'N')];Gedicht;[['Gedicht']];[''];['4242'];[''];[''];aktiv;5/A4;I;s;;;[]
